date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1789651800,Sep 17 2026 - 1:30pm,Egypt,Second Division,Ismaily SC,Haras El Hodood,0.5,2.0,0.5,2.0,2.25,75,75,75,50,25,0,50,0,75,50,2.0,0.0,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.15,2.95,2.37,1.5,2.62,5.15,12.0,2.15,1.62,0.0,0.83,0.0,0.0,6.05,2.55,1.44,1.09,1.03,1.44,,1.3,,,,,,,,,,,,,25,25,50,75,100,1.53,3.7,8.7,2.26,1.2,1.04,1.34,2.71,6.0,2.8,1.36,1.08,,,,,0,,,,0.5,2.5,5,/egypt/ismaily-sc-vs-haras-el-hodood-h2h-stats
1789651800,Sep 17 2026 - 1:30pm,Egypt,Second Division,Tanta SC,Nasr,1.5,1.0,1.5,1.0,2.0,75,100,75,25,0,0,75,0,75,50,7.5,0.0,50,50,25,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.6,2.95,2.8,1.53,2.75,5.0,9.8,2.2,1.62,1.21,1.49,0.0,0.0,5.65,2.29,1.41,1.1,1.03,1.33,,1.38,,,,,,,,,,,,,0,25,75,100,100,1.55,3.35,10.0,2.25,1.24,1.04,1.35,2.68,6.2,2.76,1.37,1.08,,,,,0,,,,1.0,1.5,5,/egypt/tanta-sc-vs-al-nasr-h2h-stats
1789651800,Sep 17 2026 - 1:30pm,Egypt,Second Division,El Mansura,Team,3.0,1.5,3.0,1.5,2.25,50,100,75,50,0,0,50,0,100,75,12.0,0.0,50,50,50,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.55,2.85,3.0,1.5,2.55,4.75,9.2,2.15,1.63,1.83,1.11,0.0,0.0,7.5,2.55,1.44,1.12,1.02,1.4,,1.44,,,,,,,,,,,,,0,25,50,100,100,1.55,3.5,11.0,2.25,1.25,1.04,1.34,2.61,5.9,2.8,1.39,1.09,,,,,0,,,,1.75,1.5,5,/egypt/el-mansura-vs-team-fc-h2h-stats
1789651800,Sep 17 2026 - 1:30pm,Egypt,Second Division,Dayrout,El Entag El Harby,0.0,0.5,0.0,0.5,2.25,50,100,100,25,0,0,75,25,100,25,8.0,0.0,25,25,25,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.86,2.96,1.95,1.43,2.45,4.5,8.4,2.05,1.7,0.54,1.53,0.0,0.0,8.0,2.55,1.49,1.2,1.03,1.66,,1.22,,,,,,,,,,,,,0,0,75,100,100,1.5,3.12,9.5,2.5,1.29,1.04,1.3,2.45,5.5,2.99,1.44,1.1,,,,,25,,,,0.0,0.75,5,/egypt/el-entag-el-harby-vs-dayrout-sc-h2h-stats
1789651800,Sep 17 2026 - 1:30pm,Egypt,Second Division,El Daklyeh FC,Tersana,1.0,1.5,1.0,1.5,0.75,0,50,25,0,0,0,50,0,25,0,8.0,0.0,25,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.95,2.6,2.8,1.65,3.0,6.5,12.0,2.34,1.49,0.67,0.94,0.0,0.0,6.0,2.06,1.31,1.1,1.02,1.38,,1.33,,,,,,,,,,,,,50,75,100,100,100,1.68,4.0,10.5,2.02,1.17,1.01,1.41,2.99,7.1,2.54,1.3,1.05,,,,,0,,,,0.75,1.25,5,/egypt/el-daklyeh-fc-vs-tersana-h2h-stats
1789651800,Sep 17 2026 - 1:30pm,Greece,Greek Football Cup,Kalamata,Larissa,2.0,2.0,2.0,2.0,4.5,67,100,100,100,100,25,100,67,100,100,6.0,4.5,59,42,17,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.77,3.45,3.8,1.32,2.15,3.78,8.0,1.92,1.73,1.26,1.37,0.0,0.0,8.0,2.88,1.66,1.19,1.05,1.2,,1.75,,,1.36,1.65,2.49,2.78,3.92,2.76,2.1,1.64,1.36,1.17,0,0,0,0,75,1.4,3.05,8.0,2.53,1.29,1.07,1.3,2.29,5.0,3.3,1.53,1.14,,,,,0,1.41,8.05,4.1,2.0,2.0,3,/greece/ae-larissa-vs-ps-pae-kalamata-h2h-stats
1789653600,Sep 17 2026 - 2:00pm,Kazakhstan,Kazakhstan Premier League,Tobol,Yelimay Semey,2.36,1.42,2.36,1.42,2.96,61,96,75,61,52,13,70,39,78,57,11.2,5.97,70,66,57,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.12,3.55,2.95,1.15,1.64,2.46,5.0,1.57,2.3,1.81,1.56,0.0,0.0,12.7,4.2,2.2,1.47,1.17,1.22,,1.73,,,,,,,,,,,,,4,26,39,49,87,1.29,2.5,5.5,3.25,1.5,1.13,1.13,1.81,3.5,4.5,1.86,1.22,,,,,31,,,,1.36,1.46,27,/kazakhstan/fk-tobol-kostanay-vs-fk-yelimay-semey-h2h-stats
1789653600,Sep 17 2026 - 2:00pm,Kazakhstan,Kazakhstan Premier League,Astana,Kairat,2.83,2.31,2.83,2.31,2.9,60,96,85,61,28,17,80,56,72,45,11.33,4.25,49,41,33,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.62,3.3,2.41,1.19,1.73,2.74,4.95,1.58,2.23,2.07,1.63,0.0,0.0,10.4,3.78,2.0,1.36,1.11,1.25,,1.36,,,,,,,,,,,,,4,16,40,72,84,1.29,2.48,6.0,3.2,1.43,1.1,1.15,1.9,3.9,4.2,1.75,1.18,,,,,28,,,,1.88,2.28,27,/kazakhstan/fk-astana-vs-fk-kairat-almaty-h2h-stats
1789653600,Sep 17 2026 - 2:00pm,Serbia,Prva Liga,Grafičar,Bor,0.33,1.0,0.33,1.0,3.38,75,88,88,88,46,29,71,13,88,75,6.75,6.0,46,46,46,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.83,3.4,3.6,1.22,1.68,2.7,5.3,1.65,2.1,1.07,1.07,0.0,0.0,10.0,3.78,1.95,1.38,1.09,1.25,,1.83,,,,,,,,,,,,,13,13,13,54,71,1.3,2.4,5.8,3.2,1.44,1.11,1.17,1.93,3.7,4.4,1.75,1.22,,,,,0,,,,0.5,1.0,9,/serbia/fk-graficar-beograd-vs-ofk-bor-h2h-stats
1789653600,Sep 17 2026 - 2:00pm,Russia,FNL,FC Tekstilshchik Ivanovo,Rotor Volgograd,0.4,0.67,0.4,0.67,2.99,64,90,72,64,47,19,72,45,90,37,7.5,5.67,55,37,29,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5,3.2,2.07,1.41,2.27,3.9,7.6,1.94,1.75,0.83,1.26,0.0,0.0,7.4,2.91,1.65,1.18,1.03,1.79,,1.22,,,1.32,1.66,2.11,2.79,3.94,2.88,2.1,1.66,1.37,1.16,10,29,37,54,82,1.47,3.12,7.8,2.52,1.3,1.02,1.28,2.38,5.25,3.22,1.5,1.09,,,,,27,2.67,7.24,1.65,0.64,1.27,12,/russia/fk-rotor-volgograd-vs-fc-tekstilshchik-ivanovo-h2h-stats
