date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Average Goals,BTTS Average,Over15 Average,Over25 Average,Average Corners,Average Cards,Home Team Pre-Match xG,Away Team Pre-Match xG,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_BTTS_Yes,Odds_DoubleChance_1x,Odds_DoubleChance_x2
Sep 20 2026 - 3:15am,Japan,Kyushu Soccer League,Miyakonojo,Kyushu Mitsubishi Motors,1.0,2.29,3.5,45,77,68,3.33,-1.71,1.62,0.0,,,,,1.44,,,
Sep 20 2026 - 5:00am,Japan,Kansai Soccer League,Velago Ikoma,Basara Hyogo,1.62,2.15,2.73,42,70,50,6.08,-0.61,1.3,1.8,4.4,4.0,1.57,,1.66,,,
Sep 20 2026 - 5:00am,Japan,Kansai Soccer League,Cento Cuore Harima,Moriyama Samurai,1.85,0.46,2.62,46,74,46,9.0,-0.85,1.8,0.95,1.2,5.5,10.6,,1.7,,,
Sep 20 2026 - 5:00am,Japan,Tohoku Soccer League,Blancdieu Hirosaki,Shichinohe,2.43,1.0,3.65,32,83,68,4.0,-1.65,1.56,0.97,,,,,1.44,,,
Sep 20 2026 - 6:00am,Japan,Kanto Soccer League,Nihon University,Shibuya City,0.63,1.38,3.1,44,78,53,14.5,-1.63,1.87,1.55,3.4,3.64,1.85,,1.6,,,
Sep 20 2026 - 8:00am,Japan,Chugoku Soccer League,Intl Pacific UFC,Fukuyama City,0.81,2.88,3.32,41,82,66,7.0,-1.07,0.84,1.81,7.07,4.4,1.35,,1.53,,,
Sep 20 2026 - 8:30am,Japan,Kanto Soccer League,Tokyo United,Toho Titanium,2.13,2.44,2.82,47,75,57,9.5,-1.0,1.46,1.12,2.83,3.25,2.23,,1.9,,,
Sep 20 2026 - 9:00am,Japan,Chugoku Soccer League,SRC Hiroshima,Baleine Shimonoseki,1.81,1.53,2.89,52,71,52,8.08,-0.84,1.12,1.27,2.38,3.32,2.5,,1.61,,,
Sep 20 2026 - 10:00am,Spain,División De Honor Juvenil Group 6,Mensajero U19,Las Palmas U19,1.5,3.0,4.5,50,100,75,7.5,-2.0,0.0,2.42,5.64,4.9,1.44,,,,,
Sep 20 2026 - 11:00am,Sweden,Division 2 Sodra Gotaland,Växjö Norra,Nosaby,1.57,1.52,3.24,60,93,69,10.2,-2.0,1.37,1.31,1.8,3.8,3.4,1.11,1.43,1.44,1.17,1.84
Sep 20 2026 - 11:15am,Czech Republic,FNL,Kladno,Příbram,2.33,1.5,2.63,67,84,54,9.08,2.0,1.49,1.33,2.2,3.4,2.9,1.15,1.57,1.5,1.35,1.55
Sep 20 2026 - 11:30am,Belgium,Pro League,Royal Antwerp FC,Union Saint-Gilloise,1.33,3.0,5.0,84,100,100,9.66,3.0,2.03,1.89,4.95,4.05,1.58,1.16,1.64,1.67,1.23,1.16
Sep 20 2026 - 11:30am,Germany,2. Bundesliga,Arminia Bielefeld,Heidenheim,2.0,1.5,3.25,50,75,75,7.5,3.5,1.39,1.0,2.1,3.7,3.14,1.13,1.51,1.45,1.25,1.67
Sep 20 2026 - 11:30am,Germany,2. Bundesliga,Energie Cottbus,St. Pauli,1.5,1.0,4.75,100,100,100,11.0,4.0,1.72,1.36,3.2,3.7,2.09,1.14,1.47,1.36,1.68,1.35
Sep 20 2026 - 11:30am,Germany,2. Bundesliga,Hannover 96,Bochum,0.5,3.0,2.25,50,50,50,9.5,7.5,1.44,1.53,1.75,3.6,3.6,1.11,1.42,1.44,1.19,1.83
Sep 20 2026 - 11:45am,Greece,Super League 2,Kallithea,Panserraikos,1.5,1.5,2.0,50,50,50,6.5,0.0,1.01,1.42,2.37,2.8,2.87,1.51,2.52,2.11,1.31,1.44
Sep 20 2026 - 12:00pm,Sweden,Damallsvenskan,Kristianstad,Piteå Women,1.56,1.13,2.57,47,77,53,10.32,1.28,1.16,1.2,1.8,3.5,3.6,1.2,1.77,1.62,1.19,1.82
Sep 20 2026 - 12:00pm,Sweden,Allsvenskan,Djurgården,Elfsborg,1.73,1.3,3.07,58,81,62,9.36,2.98,1.89,1.33,1.5,4.0,5.0,1.12,1.6,1.66,1.14,2.48
Sep 20 2026 - 12:00pm,Sweden,Allsvenskan,Halmstad,AIK,0.8,1.82,2.61,61,86,47,8.17,4.52,1.35,1.26,3.2,3.4,1.95,1.15,1.61,1.57,1.8,1.3
Sep 20 2026 - 12:00pm,Sweden,Allsvenskan,Kalmar,Häcken,1.7,1.6,2.7,45,80,50,11.2,2.9,1.38,1.46,2.8,3.4,2.35,1.17,1.72,1.53,1.3,1.4
Sep 20 2026 - 12:00pm,Norway,2 Division Group 2,Grorud,Kjelsås,1.79,2.26,3.16,58,76,63,8.84,3.05,1.59,1.68,2.4,3.42,2.5,1.1,1.47,1.4,1.21,1.47
Sep 20 2026 - 12:00pm,Norway,3. Division Group 5,Lillestrøm II,Fauske / Sprint,1.42,1.47,5.82,92,95,95,8.82,-1.47,1.9,1.76,1.3,5.75,5.25,1.01,1.07,1.13,1.06,3.4
Sep 20 2026 - 12:00pm,Denmark,Superliga,Brøndby,København,2.25,2.25,3.75,38,88,88,12.75,3.75,2.03,1.38,3.0,3.6,2.17,1.18,1.63,1.57,1.25,1.3
Sep 20 2026 - 12:00pm,Denmark,Superliga,SønderjyskE,Randers,0.25,1.0,2.71,25,54,54,8.67,4.58,1.3,1.14,2.71,3.4,2.3,1.18,1.72,1.6,1.27,1.4
Sep 20 2026 - 12:00pm,Switzerland,Super League,Vaduz,Thun,2.0,1.5,5.42,100,100,100,9.0,3.33,1.87,1.53,2.36,3.95,2.51,1.04,1.28,1.36,1.22,1.57
Sep 20 2026 - 12:00pm,Scotland,SWPL 1,Hibernian W,Montrose W,2.0,0.0,4.25,25,100,100,5.0,0.0,2.03,0.41,1.03,13.0,70.0,,1.22,,,
Sep 20 2026 - 12:00pm,Scotland,SWPL 1,Glasgow City W,Partick Thistle Women,1.5,2.0,3.75,50,100,75,17.5,0.0,2.56,2.41,1.01,13.0,100.0,,1.16,,,
Sep 20 2026 - 12:00pm,Spain,La Liga,Getafe CF,Málaga CF,1.67,0.33,2.17,50,84,17,8.67,4.67,1.18,0.95,2.0,3.1,4.15,1.5,2.46,2.2,1.36,1.75
Sep 20 2026 - 12:00pm,Spain,Segunda División,CE Sabadell FC,Real Oviedo,3.0,3.0,2.5,25,50,50,7.5,6.0,1.89,1.3,2.15,2.9,3.4,1.5,2.6,1.98,1.34,1.57
Sep 20 2026 - 12:00pm,Germany,2. Frauen Bundesliga,Hoffenheim II Women,Turbine Potsdam,0.33,1.0,3.5,84,84,84,0.0,0.0,0.0,0.0,2.73,4.12,2.0,,,,,
Sep 20 2026 - 12:00pm,Germany,2. Frauen Bundesliga,Ingolstadt W,Borussia M'gladbach Women,2.0,1.5,4.42,84,84,84,0.0,0.0,0.0,0.0,1.75,4.53,3.14,,,,,
